replica,tamanho,algoritmo,localidad,tiempo
44,1,16_2,si,4
44,1,8_1,no,0
44,1,8_2,no,0
44,1,16_2,no,0
44,2,8_1,si,0
44,2,8_2,si,4
44,2,16_2,si,4
44,2,8_1,no,0
44,2,8_2,no,4
44,2,16_2,no,4
44,3,8_1,si,4
44,3,8_2,si,4
44,3,16_2,si,12
44,3,8_1,no,4
44,3,8_2,no,4
44,3,16_2,no,12
44,4,8_1,si,8
44,4,8_2,si,12
44,4,16_2,si,20
44,4,8_1,no,12
44,4,8_2,no,16
44,4,16_2,no,20
45,1,8_1,si,0
45,1,8_2,si,0
45,1,16_2,si,4
45,1,8_1,no,0
45,1,8_2,no,0
45,1,16_2,no,0
45,2,8_1,si,4
45,2,8_2,si,0
45,2,16_2,si,4
45,2,8_1,no,4
45,2,8_2,no,4
45,2,16_2,no,4
45,3,8_1,si,4
45,3,8_2,si,4
45,3,16_2,si,8
45,3,8_1,no,8
45,3,8_2,no,4
45,3,16_2,no,12
45,4,8_1,si,8
45,4,8_2,si,8
45,4,16_2,si,20
45,4,8_1,no,8
45,4,8_2,no,12
45,4,16_2,no,20
46,1,8_1,si,0
46,1,8_2,si,0
46,1,16_2,si,4
46,1,8_1,no,0
46,1,8_2,no,0
46,1,16_2,no,0
46,2,8_1,si,0
46,2,8_2,si,4
46,2,16_2,si,4
46,2,8_1,no,0
46,2,8_2,no,4
46,2,16_2,no,4
46,3,8_1,si,4
46,3,8_2,si,4
46,3,16_2,si,12
46,3,8_1,no,4
46,3,8_2,no,8
46,3,16_2,no,12
46,4,8_1,si,12
46,4,8_2,si,12
46,4,16_2,si,28
46,4,8_1,no,8
46,4,8_2,no,12
46,4,16_2,no,20
47,1,8_1,si,0
47,1,8_2,si,0
47,1,16_2,si,0
47,1,8_1,no,0
47,1,8_2,no,4
47,1,16_2,no,0
47,2,8_1,si,4
47,2,8_2,si,0
47,2,16_2,si,4
47,2,8_1,no,4
47,2,8_2,no,0
47,2,16_2,no,8
47,3,8_1,si,4
47,3,8_2,si,4
47,3,16_2,si,8
47,3,8_1,no,8
